example_id,category,heuristic_cause,question,gold_answers,pred_answers,gold_count,pred_count,gold_support_ratio,full_gold_support,all_pred_supported,score,raw_model_output,retrieved_sources_top5,used_passage_ids_top5,note
ambig_41188,wrong,supported_but_wrong_entity_or_granularity,Who purchased KSLM?,"['Christian Center of Salem reached an agreement in February 2004 to sell KCCS to Christian media magnate Cindy Smith DBA The JC Media Group', 'K-Salem Communications (Greg Fabos, owner) was sold to Willamette Broadcasting Corp., Inc']","['Willamette Broadcasting Corp., Inc. purchased KSLM.']",2,1,1.0,True,True,0.0,"Willamette Broadcasting Corp., Inc. purchased KSLM.","['Cairncross Dockyard', 'KZGD', 'Poplar Hill Mansion', 'KSLM (AM)', 'Rags to Riches (horse)']","['19925991', '13175671', '11702790', '11399214', '10372383']","Evidence is present, but the model chooses the wrong entity, level of detail, or collapses to one supported sense."
ambig_19071,wrong,supported_but_wrong_entity_or_granularity,What does PIAS stand for?,"['An international recording, licensing, distribution, sales and marketing company for independent music', 'A record label founded in 1983 in Belgium as Play It Again Sam by Kenny Gates and Michel Lambot']",['PIAS stands for Play It Again Sam.'],2,1,1.0,True,True,0.0,PIAS stands for Play It Again Sam.,"['PIAS Group', 'PIAS Recordings', ""Children's Institute of Pittsburgh"", 'Dud', 'Intelligent Mail barcode']","['12293287', '18876968', '11396391', '5489296', '11529390']","Evidence is present, but the model chooses the wrong entity, level of detail, or collapses to one supported sense."
ambig_56086,wrong,support_present_but_answer_shape_or_entity_selection_error,Who founded the Garhwal?,"['Ajay Pal', 'One of these chiefs, Ajai Pal, founded the Garhwal Kingdom', 'Kanakpal, the prince of Malwa', 'Lieutenant Colonel E P Mainwaring']","['Ajai Pal', 'Kanakpal']",4,2,1.0,True,True,0.0,"Ajai Pal  
Kanakpal","['Garhwal division', 'John of Dailam', 'Tehri Garhwal district', 'Military Order of the Carabao', 'Garhwal District']","['3872689', '16378502', '6703501', '9492906', '6703679']","Model output is close to supported content, but answer shape, over-generation, or entity framing causes evaluation failure."
ambig_65307,wrong,support_present_but_answer_shape_or_entity_selection_error,What is the format of WGHN?,"['Adult contemporary', 'Oldies format']",['The format of WGHN (AM) is oldies.'],2,1,1.0,True,True,0.0,The format of WGHN (AM) is oldies.,"['WGHN-FM', 'KSEG (FM)', 'WGHN (AM)', 'War of the Roses (radio show)', 'WRNN-FM']","['10801894', '6178142', '10722767', '9217759', '10091824']","Model output is close to supported content, but answer shape, over-generation, or entity framing causes evaluation failure."
ambig_63595,wrong,support_present_but_answer_shape_or_entity_selection_error,What type of virus is MEV?,"['Measles virus is a single-stranded, negative-sense, enveloped (non-segmented) RNA virus', 'Mink enteritis virus is a species of parvovirus']",['MEV (Mink enteritis virus) is a parvovirus.'],2,1,1.0,True,True,0.0,MEV (Mink enteritis virus) is a parvovirus.,"['Measles virus', 'Paramyxoviridae', 'Mink enteritis virus', 'Panicum mosaic virus', 'Transduction (genetics)']","['3697014', '1618735', '12839144', '10619857', '3251008']","Model output is close to supported content, but answer shape, over-generation, or entity framing causes evaluation failure."
ambig_1814,wrong,unsupported_generation_or_reasoning_error,When was Jim Stevenson born?,"['1935 in Falkirk', '17 May 1992 in Luton, Bedfordshire']","['17 May 1992', '1935 (exact date not specified)']",2,2,1.0,True,False,0.0,"17 May 1992  
1935 (exact date not specified)","['Jim Stevenson (footballer, born 1992)', 'Jim Stevenson (footballer, born 1935)', 'Return to Treasure Island (TV series)', 'Jim Roach (producer)', 'Jimmy Staggs']","['18255631', '13714018', '9435353', '17310534', '11168420']",Model generates unsupported material or incorrectly abstains despite relevant evidence.
ambig_32730,wrong,unsupported_generation_or_reasoning_error,What is the population of Foxhome?,"['20.7% of residents were under the age of 18', '102 people']",['102 (as of the 2000 census)'],2,1,1.0,True,False,0.0,102 (as of the 2000 census),"['Foxhome Township, Wilkin County, Minnesota', 'Sofala Province', 'Mineral Point (town), Wisconsin', 'Birley', 'Green Valley, Solano County, California']","['1132762', '2579828', '1895922', '4931227', '1023056']",Model generates unsupported material or incorrectly abstains despite relevant evidence.
ambig_8403,wrong,unsupported_generation_or_reasoning_error,When was Stuart Elliott born?,"['27 August 1977', '23 July 1978', '22 May 1953']","['1953 (drummer)', '1977 (footballer)', '1978 (footballer)']",3,3,1.0,True,False,0.0,"1953 (drummer)  
1977 (footballer)  
1978 (footballer)","['Stuart Elliott (drummer)', 'Stuart Elliott (footballer, born 1977)', 'Stuart Elliott (footballer, born 1978)', 'Matthew Elliott (rugby league)', 'Matt Elliott (footballer)']","['11699203', '10473635', '6482626', '7035904', '6343578']",Model generates unsupported material or incorrectly abstains despite relevant evidence.
ambig_44280,merged,entity_merge,What is Ethelton?,"['A suburb', 'A railway station']","['Ethelton is a north-western Adelaide suburb in South Australia.', 'Ethelton is a railway station on the Outer Harbor line, located in the suburb of Ethelton.', 'Ethelton is part of the state electoral district of Lee.']",2,3,0.0,False,True,1.0,"Ethelton is a north-western Adelaide suburb in South Australia.  
Ethelton is a railway station on the Outer Harbor line, located in the suburb of Ethelton.  
Ethelton is part of the state electoral district of Lee.","['Ethelton, South Australia', 'Predicate (grammar)', 'Earlham Hall', 'Quanta cura', 'Ethelton railway station']","['6997385', '5061265', '14300213', '2064823', '6167026']",Model blends distinct referents or answer types into a merged response.
ambig_21806,merged,entity_merge,"What is ""Crazy Rich Asians""?","['A novel by Kevin Kwan', 'A 2018 American romantic comedy-drama film directed by Jon M', 'A comedic novel published by Kevin Kwan on June 11, 2013']","['""Crazy Rich Asians"" is a 2013 novel by Kevin Kwan.', '""Crazy Rich Asians"" is a 2018 American romantic comedy-drama film directed by Jon M. Chu, based on the novel by Kevin Kwan.']",3,2,1.0,True,True,0.6666666666666666,"- ""Crazy Rich Asians"" is a 2013 novel by Kevin Kwan.
- ""Crazy Rich Asians"" is a 2018 American romantic comedy-drama film directed by Jon M. Chu, based on the novel by Kevin Kwan.","['Crazy Rich Asians (soundtrack)', 'Crazy Rich Asians', 'Crazy Rich Asians (film)', 'The Antipodes', 'Jolin Tsai']","['20863546', '19123707', '20098001', '11206934', '2689012']",Model blends distinct referents or answer types into a merged response.
